ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000747;BTA 7,2% Mai 2027;1.0;20.0;20.39;95.22
TNYI64DBCMP4;BTC 52 semaines 11042025;0.0;0.0;0.0;0.0
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;5000.0;0.5;260.0;8.6
TNX0K9990B08;EMP NAT 2024 T2 CB TF;13000.0;1.3;13.0;8.99
TN0008000622;BTA 6,3% Mars 2026;19684.0;19.38;90.0;8.5
TN0008000747;BTA 7,2% Mai 2027;2809.0;3.0;8.0;8.91
TN0008000622;BTA 6,3% Mars 2026;1786.0;1.8;90.0;7.9
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19313.0;2.0;15.0;8.91
TN0008000606;BTA 6,7% Avril 2028;599.0;0.6;62.0;7.7
TN54R4G06T00;ENDA TAMWEEL 2023-1 CA TF;6250.0;0.5;30.0;9.66
TN0008000838;EMP NAT T1 2021 CB;10000.0;1.0;30.0;9.66
TN0008000812;BTA 7,5% 13/12/2028;828.0;0.8;50.0;8.5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;7726.0;0.8;50.0;8.5
